Transaktionscode,Erstellt,Aktualisiert,Betrag EUR,Währung,DR/CR,Transaktionstyp,Status,E-Mail Gegenpartei,Name Gegenpartei,Konto Gegenpartei,Land,Eltern-TX,Artikelbezeichnung,Betreff,Hinweise,Rechnungsnr.,Rechnungsadresse,Lieferadresse,Zahlungsquelle,IP-Adresse,Umleitungs-URL,is_streaming_payment
VBDIVUZZPQK51FPKH,22.11.2023 01:46,22.11.2023 01:46,19.0,EUR,DR,Goods and Services,Completed,paul32@outlook.com,Paul Schmidt,2026732168947069933,FR,PARENT,,Payment,,,,,PayPal Balance,92.217.89.155,https://shop.example.com,1
UZBIKCIDKWNNHJ7XV,05.07.2024 06:44,05.07.2024 06:44,15.0,EUR,CR,Mobile Payment-Personal,Completed,daniel16@web.de,Daniel Müller,2047097560152403403,FR,PARENT,Access,Invoice,,,,,Bank Transfer,70.254.237.164,,1
H75LXO6QJIUJV6OH9,23.03.2023 11:10,23.03.2023 11:10,20.0,EUR,DR,Goods and Services,Completed,sarah99@outlook.com,Sarah Schulz,2044053510090782517,IT,PARENT,Service,,,,,,PayPal Balance,203.175.109.153,https://shop.example.com,1
511MKFAZZ81SDW4SH,02.01.2024 03:33,02.01.2024 03:33,45.0,EUR,DR,Goods and Services,Completed,anna68@gmx.de,Anna Wolf,2046563341458729057,ES,PARENT,,Service Fee,,,,,Credit Card,236.1.154.83,https://shop.example.com,1
039TEX8FSV871YZOY,15.12.2023 17:27,15.12.2023 17:27,12.0,EUR,DR,Mobile Payment-Personal,Completed,mila40@outlook.com,Mila Müller,2130132022323567028,DE,PARENT,,,,,,,PayPal Balance,58.17.87.6,,1
IYHE7UR23GDPPQ0Y9,14.04.2023 09:23,14.04.2023 09:23,12.0,EUR,CR,Mobile Payment-Personal,Completed,laura1@yahoo.com,Laura Schulz,2116047680136040431,IT,PARENT,Service,,,,,,Bank Transfer,205.221.28.64,,1
5TB94874FRHOCN9J2,25.09.2023 05:22,25.09.2023 05:22,25.0,EUR,DR,Mobile Payment-Personal,Completed,lea55@yahoo.com,Lea Fischer,2121923604383668210,IT,PARENT,Subscription,,,,,,Credit Card,255.201.143.170,,1
BR7TCS4CC5O7UUBCX,27.03.2023 04:08,27.03.2023 04:08,50.0,EUR,DR,Goods and Services,Completed,sarah28@outlook.com,Sarah Becker,2075160595959703765,AT,PARENT,,,,,,,Credit Card,184.81.62.68,https://shop.example.com,1
DTSEMCIKPTK93TYT7,05.04.2024 11:11,05.04.2024 11:11,15.0,EUR,CR,Mobile Payment-Personal,Completed,lukas59@outlook.com,Lukas Weber,2076227110210955023,DE,PARENT,,,,,,,PayPal Balance,191.142.40.70,,1
PJA1WJ0TPAC56T4UF,20.01.2024 10:54,20.01.2024 10:54,45.0,EUR,CR,Mobile Payment-Personal,Completed,daniel88@yahoo.com,Daniel Fischer,2088849417401355230,NL,PARENT,Subscription,,,,,,PayPal Balance,231.92.54.175,,1
G72OY0IFZNBQH7M35,14.08.2023 02:01,14.08.2023 02:01,20.0,EUR,CR,Goods and Services,Completed,lea53@web.de,Lea Schmidt,2190241612223143771,AT,PARENT,Subscription,Payment,,,,,Bank Transfer,85.72.222.18,https://shop.example.com,1
9BVM2P9E6GBPS3Y70,27.04.2024 06:31,27.04.2024 06:31,12.0,EUR,CR,Mobile Payment-Personal,Completed,daniel87@gmx.de,Daniel Klein,2124313010993733206,DE,PARENT,Subscription,,,,,,Credit Card,236.85.160.81,,1
GXN0GUO4KH2VLPYS2,26.03.2024 10:16,26.03.2024 10:16,35.0,EUR,CR,Mobile Payment-Personal,Completed,paul65@outlook.com,Paul Schmidt,2024440651666583896,NL,PARENT,,,,,,,Credit Card,170.163.159.86,,1
